sex,height,weight
Female,172,63
Female,170,70
Female,170,52
Female,171,52
Male,186,90
Male,183,79
Male,170,66
Female,169,56
Male,175,75
Female,175,65
Male,195,94
Female,176,51
Male,188,76
Male,192,82
Male,172,70
Female,169,53
Female,172,52
Male,178,85
Female,177,59
Male,178,72
Female,160,54
Female,175,54
Male,190,70
Male,178,85
Female,163,55
Female,161,59
Female,162,44
Female,170,54
Female,154,52
Female,170,65
